CourseID,Type,Day,Day2,Start,End,AlsoRegister
ELEC 2501 A,Lecture,Mon,Wed,08:35,09:55,"['ELEC 2501 L6', 'ELEC 2501 L3', 'ELEC 2501 L4', 'ELEC 2501 L5', 'ELEC 2501 L7', 'ELEC 2501 L2', 'ELEC 2501 L1', 'ELEC 2501 L8']"
ELEC 2501 B,Lecture,Tue,Thu,13:05,14:25,"['ELEC 2501 L6', 'ELEC 2501 L3', 'ELEC 2501 L4', 'ELEC 2501 L5', 'ELEC 2501 L7', 'ELEC 2501 L2', 'ELEC 2501 L1', 'ELEC 2501 L8']"
ELEC 2501 C,Lecture,Wed,Fri,14:35,15:55,"['ELEC 2501 L6', 'ELEC 2501 L3', 'ELEC 2501 L4', 'ELEC 2501 L5', 'ELEC 2501 L7', 'ELEC 2501 L2', 'ELEC 2501 L1', 'ELEC 2501 L8']"
ELEC 2501 L1,Laboratory,Wed,,11:35,14:25,"['ELEC 2501 B', 'ELEC 2501 C', 'ELEC 2501 A']"
ELEC 2501 L2,Laboratory,Fri,,08:35,11:25,"['ELEC 2501 B', 'ELEC 2501 C', 'ELEC 2501 A']"
ELEC 2501 L3,Laboratory,Thu,,14:35,17:25,"['ELEC 2501 B', 'ELEC 2501 C', 'ELEC 2501 A']"
ELEC 2501 L4,Laboratory,Thu,,08:35,11:25,"['ELEC 2501 B', 'ELEC 2501 C', 'ELEC 2501 A']"
ELEC 2501 L5,Laboratory,Tue,,08:35,11:25,"['ELEC 2501 B', 'ELEC 2501 C', 'ELEC 2501 A']"
ELEC 2501 L6,Laboratory,Mon,,14:35,17:25,"['ELEC 2501 B', 'ELEC 2501 C', 'ELEC 2501 A']"
ELEC 2501 L7,Laboratory,Fri,,11:35,14:25,"['ELEC 2501 B', 'ELEC 2501 C', 'ELEC 2501 A']"
ELEC 2501 L8,Laboratory,Tue,,14:35,17:25,"['ELEC 2501 B', 'ELEC 2501 C', 'ELEC 2501 A']"
PHIL 1301 A,Lecture,Tue,Thu,14:35,15:55,[]
ARTH 2601 A,Lecture,Tue,Thu,14:35,15:55,[]
MATH 1005 A,Lecture,Wed,Fri,10:05,11:25,['MATH 1005 AT']
MATH 1005 AT,Tutorial,Fri,,11:35,12:25,['MATH 1005 A']
MATH 1005 B,Lecture,Tue,Thu,10:05,11:25,['MATH 1005 BT']
MATH 1005 BT,Tutorial,Thu,,16:35,17:25,['MATH 1005 B']
MATH 1005 C,Lecture,Mon,Wed,10:05,11:25,['MATH 1005 CT']
MATH 1005 CT,Tutorial,Wed,,11:35,12:25,['MATH 1005 C']
MATH 1005 D,Lecture,Wed,Fri,14:35,15:55,['MATH 1005 DT']
MATH 1005 DT,Tutorial,Fri,,16:35,17:25,['MATH 1005 D']
MATH 1005 E,Lecture,Tue,Thu,19:35,20:55,['MATH 1005 ET']
MATH 1005 ET,Tutorial,Thu,,21:05,21:55,['MATH 1005 E']
MATH 1005 F,Lecture,Mon,Wed,18:05,19:25,['MATH 1005 FT']
MATH 1005 FT,Tutorial,Mon,,19:35,20:25,['MATH 1005 F']
SYSC 2006 A,Lecture,Mon,Wed,13:05,14:25,"['SYSC 2006 L1', 'SYSC 2006 L5', 'SYSC 2006 L6', 'SYSC 2006 L2', 'SYSC 2006 L4', 'SYSC 2006 L7', 'SYSC 2006 L8', 'SYSC 2006 L3', 'SYSC 2006 L9']"
SYSC 2006 B,Lecture,Tue,Thu,16:05,17:25,"['SYSC 2006 L1', 'SYSC 2006 L5', 'SYSC 2006 L6', 'SYSC 2006 L2', 'SYSC 2006 L4', 'SYSC 2006 L7', 'SYSC 2006 L8', 'SYSC 2006 L3', 'SYSC 2006 L9']"
SYSC 2006 C,Lecture,Mon,Wed,11:35,12:55,"['SYSC 2006 L1', 'SYSC 2006 L5', 'SYSC 2006 L6', 'SYSC 2006 L2', 'SYSC 2006 L4', 'SYSC 2006 L7', 'SYSC 2006 L8', 'SYSC 2006 L3', 'SYSC 2006 L9']"
SYSC 2006 L1,Laboratory,Fri,,12:35,14:25,"['SYSC 2006 C', 'SYSC 2006 B', 'SYSC 2006 A']"
SYSC 2006 L2,Laboratory,Tue,,16:05,17:55,"['SYSC 2006 C', 'SYSC 2006 B', 'SYSC 2006 A']"
SYSC 2006 L3,Laboratory,Tue,,08:35,10:25,"['SYSC 2006 C', 'SYSC 2006 B', 'SYSC 2006 A']"
SYSC 2006 L4,Laboratory,Wed,,16:05,17:55,"['SYSC 2006 C', 'SYSC 2006 B', 'SYSC 2006 A']"
SYSC 2006 L5,Laboratory,Thu,,09:35,11:25,"['SYSC 2006 C', 'SYSC 2006 B', 'SYSC 2006 A']"
SYSC 2006 L6,Laboratory,Fri,,14:35,16:25,"['SYSC 2006 C', 'SYSC 2006 B', 'SYSC 2006 A']"
SYSC 2006 L7,Laboratory,Mon,,15:35,17:25,"['SYSC 2006 C', 'SYSC 2006 B', 'SYSC 2006 A']"
SYSC 2006 L8,Laboratory,Tue,,11:35,13:25,"['SYSC 2006 C', 'SYSC 2006 B', 'SYSC 2006 A']"
SYSC 2006 L9,Laboratory,Thu,,11:35,13:25,"['SYSC 2006 C', 'SYSC 2006 B', 'SYSC 2006 A']"
GEOG 1020 A,Lecture,Mon,,11:35,13:25,"['GEOG 1020 A05', 'GEOG 1020 A06', 'GEOG 1020 A04', 'GEOG 1020 A03', 'GEOG 1020 A08', 'GEOG 1020 A02', 'GEOG 1020 A07', 'GEOG 1020 A01']"
GEOG 1020 A04,Tutorial,Mon,,20:05,20:55,['GEOG 1020 A']
GEOG 1020 A07,Tutorial,Mon,,15:35,16:25,['GEOG 1020 A']
GEOG 1020 A08,Tutorial,Tue,,10:35,11:25,['GEOG 1020 A']
COMP 2804 A,Lecture,Mon,Wed,10:05,11:25,[]
COMP 2804 B,Lecture,Wed,Fri,16:05,17:25,[]
